idcliente;cliente;produto;fornecedor;idfornecedor;dtstatusvenda;statusitem;idvendedor;idproduto;pesounitario;qtdnofator;estoque_anterior;pesototal;idcliente;cidade;uf;qtdvendido;vlrunitario;vlrtotal
1549;CENTRO MEDICO SANTA FE LTDA;SANITA (REDONDA) - MONTE LIBANO;MONTE LIBANO IND. E COM. DE BRINQUEDOS LTDA;60;2016-06-01;LANCADO;1799;7896744811407;0.0000;4.0000;344.0000;0.00000000;1549;ARAPIRACA;AL;4.00000000;10.8900000000000000;43.560000
1549;CENTRO MEDICO SANTA FE LTDA;SANITA (AVULSA) - MONTE LIBANO;MONTE LIBANO IND. E COM. DE BRINQUEDOS LTDA;60;2016-06-01;LANCADO;1799;7896744811353;0.0000;2.0000;192.0000;0.00000000;1549;ARAPIRACA;AL;2.00000000;5.3900000000000000;10.780000
3516;LOJA MERCONPLAS LTDA;SANITA (QUADRANGULAR) - MONTE LIBANO;MONTE LIBANO IND. E COM. DE BRINQUEDOS LTDA;60;2016-05-31;LANCADO;3;7896744811308;0.0000;1.0000;14.0000;0.00000000;3516;ARAPIRACA;AL;1.00000000;12.1600000000000000;12.160000
3516;LOJA MERCONPLAS LTDA;SANITA (AVULSA) - MONTE LIBANO;MONTE LIBANO IND. E COM. DE BRINQUEDOS LTDA;60;2016-05-31;LANCADO;3;7896744811353;0.0000;1.0000;193.0000;0.00000000;3516;ARAPIRACA;AL;1.00000000;5.2300000000000000;5.230000
3516;LOJA MERCONPLAS LTDA;ESCOVA C/SUPORTE - MONTE LIBANO;MONTE LIBANO IND. E COM. DE BRINQUEDOS LTDA;60;2016-05-31;LANCADO;3;7896744810400;0.0000;1.0000;34.0000;0.00000000;3516;ARAPIRACA;AL;1.00000000;6.2100000000000000;6.210000
3516;LOJA MERCONPLAS LTDA;SANITA (AVULSA) - MONTE LIBANO;MONTE LIBANO IND. E COM. DE BRINQUEDOS LTDA;60;2016-05-30;LANCADO;3;7896744811353;0.0000;2.0000;195.0000;0.00000000;3516;ARAPIRACA;AL;2.00000000;5.2300000000000000;10.460000
3516;LOJA MERCONPLAS LTDA;SANITA (REDONDA) - MONTE LIBANO;MONTE LIBANO IND. E COM. DE BRINQUEDOS LTDA;60;2016-05-30;LANCADO;3;7896744811407;0.0000;1.0000;345.0000;0.00000000;3516;ARAPIRACA;AL;1.00000000;10.5600000000000000;10.560000
3516;LOJA MERCONPLAS LTDA;ESCOVA C/SUPORTE - MONTE LIBANO;MONTE LIBANO IND. E COM. DE BRINQUEDOS LTDA;60;2016-05-30;LANCADO;3;7896744810400;0.0000;1.0000;35.0000;0.00000000;3516;ARAPIRACA;AL;1.00000000;6.2100000000000000;6.210000
3516;LOJA MERCONPLAS LTDA;SANITA (QUADRANGULAR) - MONTE LIBANO;MONTE LIBANO IND. E COM. DE BRINQUEDOS LTDA;60;2016-05-28;LANCADO;3;7896744811308;0.0000;3.0000;17.0000;0.00000000;3516;ARAPIRACA;AL;3.00000000;12.1600000000000000;36.480000
3516;LOJA MERCONPLAS LTDA;SANITA (REDONDA) - MONTE LIBANO;MONTE LIBANO IND. E COM. DE BRINQUEDOS LTDA;60;2016-05-28;LANCADO;3;7896744811407;0.0000;3.0000;348.0000;0.00000000;3516;ARAPIRACA;AL;3.00000000;10.5600000000000000;31.680000
